	YPACETATE	YPDCAFEIN40	YPDHU	YPETHANOL	YPD14	YPDCAFEIN50	YPDKCL2M	YPGALACTOSE	YPD40	YPDCHX05	YPDLICL250MM	YPGLYCEROL	YPD42	YPDCHX1	YPDMV	YPRIBOSE	YPD6AU	YPDCUSO410MM	YPDNACL15M	YPSORBITOL	YPDANISO10	YPDDMSO	YPDNACL1M	YPXYLOSE	YPDANISO20	YPDETOH	YPDNYSTATIN	YPDANISO50	YPDFLUCONAZOLE	YPDSDS	YPDBENOMYL200	YPDFORMAMIDE4	YPDSODIUMMETAARSENITE	YPDBENOMYL500	YPDFORMAMIDE5
AAA_6.re	0.518089736	0.163030371	0.610582277	0.6620184610000001	0.531375078	0.128509042	0.20521999	1.241087113	1.036061933	0.5379398129999999	0.261682231	0.649241055	1.05040199	0.180487927	0.42155410000000004	0.480702489	0.137874901	1.1730719859999998	0.23752982600000003	0.586972752	1.130440649	0.6279774770000001	0.365645293	0.672106559	1.105637748	0.41470026299999996	0.21660224399999997	0.48425551200000005	0.5802557110000001	0.08960465	0.326406673	0.808753629	0.884226287	0.386071525	0.649616918
AAB_6.re	0.22349617800000002	0.011065866	0.216832096	0.409615966	0.246485183	0.009173236	0.017491949	0.36544397700000003	0.433784851	0.032251726	0.017658438000000002	0.363370375	0.256125679	0.045648477	0.008495146	0.3968671	0.06896099	0.018906773999999998	0.016411108	0.585841826	0.393003736	0.421277973	0.108321809	0.470569134	0.102228283	0.24146543899999998	0.0	0.031727168	0.42688350799999997	0.0	0.055718209000000005	0.402776556	0.007129138	0.09816417599999999	0.298142382
AAC_6.re	0.19902656600000002	0.054790737	0.340005458	0.078899505	0.6474183020000001	0.037208699	0.059992052000000004	0.148545659	0.28880932600000003	0.260526962	0.169382017	0.033329266	0.140342099	0.104904021	0.094195696	0.06361131	0.27091302	0.087731091	0.052694269	0.09373780699999999	0.41795571	0.28731371	0.178965971	0.067611049	0.32518221199999997	0.140484003	0.044050179	0.33635819899999997	0.5417043189999999	0.025555556	0.297391928	0.19725073899999998	0.178131347	0.178834537	0.10914810400000001
AAD_6.re	0.41801213299999995	0.148620257	0.438973166	0.43592400200000003	0.470688586	0.055560943	0.041270233999999996	0.924793005	0.657180557	0.579466476	0.19697008100000002	0.40860264399999996	0.278862289	0.33502496	0.069301661	0.329751122	0.331896852	0.161564558	0.156154632	0.44883682	0.788249325	0.615228349	0.26858579899999996	0.386089601	0.52876658	0.405522365	0.142299893	0.15062041699999998	0.47986233100000003	0.051289470999999996	0.20668847	0.103197502	0.087852321	0.156034636	0.085985566
AAE_6.re	0.256953147	0.02248815	0.447898644	0.431413399	0.490767367	0.030538537999999997	0.12648388800000002	0.566602047	0.7416706270000001	0.133537994	0.13511810400000002	0.34949592700000004	0.522838916	0.064285174	0.145256064	0.254718985	0.355877836	0.09895863099999999	0.17864366199999998	0.429184955	0.28620694	0.550885551	0.23284949800000002	0.35669079	0.165100434	0.325812079	0.085392516	0.18049068699999998	0.450022916	0.070214599	0.20173888199999998	0.32436916600000004	0.34288751799999995	0.18849327	0.166884449
AAG_6.re	0.162107138	0.10726014099999999	0.229102616	0.298376829	0.37225234100000004	0.09805980800000001	0.115825438	0.385646335	0.55665008	0.080891304	0.136708506	0.353411104	0.26256449600000004	0.067898671	0.193949239	0.216128595	0.160135696	0.86218577	0.145580845	0.21486952399999998	0.742853372	0.333401124	0.255625357	0.252912832	0.268794688	0.2755364	0.152150043	0.09364381699999999	0.32348583	0.279984125	0.151826983	0.326856027	0.06806382799999999	0.202483174	0.253002292
AAH_6.re	0.046315141	0.054876503	0.52619963	0.00562701	0.5396799529999999	0.03871852	0.061638583	0.32101752100000003	0.9563896129999999	0.40878896600000003	0.261589716	0.00617284	0.34345554100000003	0.161959091	0.360242215	0.013507338999999998	0.21380795100000002	0.029424077000000003	0.249849071	0.037053102000000004	1.042826271	0.588838248	0.520142778	0.01312336	0.6897316509999999	0.052265400999999996	0.166555396	0.21595209399999998	0.621086172	0.008733624	0.152084686	0.7632109420000001	0.049377209000000005	0.053703535999999996	0.614279592
AAI_6.re	0.34816650200000004	0.038581778	0.190642015	0.645886202	0.39252324	0.082286369	0.124436508	1.200673191	0.362131136	0.045053490999999994	0.024792447999999998	0.620821679	0.19034802399999998	0.033593264	0.04379359	0.493119394	0.0	0.061520239000000004	0.07556381200000001	0.71743421	0.125697724	0.297986309	0.102244454	0.56333274	0.063306863	0.198133045	0.020994061	0.13038860800000002	0.17559687899999998	0.0	0.222688026	0.151669061	0.007173077	0.24924968	0.093704589
AAK_6.re	0.340943968	0.104455857	0.34569719	0.667967906	0.671721184	0.11655812900000001	0.249304363	0.495904141	0.492886527	0.296636238	0.22319216600000003	0.374140532	0.151913882	0.095370475	0.227293865	0.25439313199999997	0.310585736	0.127853525	0.217968766	0.299068285	0.35904775200000005	0.433218428	0.210582871	0.349100786	0.318206093	0.454600987	0.114018794	0.32917606	0.69902835	0.041333042	0.261171064	0.451879907	0.7252759879999999	0.25878655300000003	0.374869396
AAL_3.re	0.404986503	0.168144669	0.453282444	0.559084852	0.530578035	0.149640011	0.040875512	0.8581583079999999	0.690595623	0.32921222	0.090272075	0.552290272	0.39396259899999997	0.13588661900000001	0.210773138	0.409712136	0.278381482	0.8452543020000001	0.104588789	0.5645634829999999	0.7867617459999999	0.45702553100000004	0.18353233100000002	0.455922366	0.52439463	0.48933701799999996	0.154768216	0.21819179600000002	0.467390477	0.457400298	0.26879472600000004	0.382928954	0.41129766700000003	0.238723412	0.280552321
